run subrun event vtxid Enu_1e1p Eta PT_1e1p AlphaT_1e1p SphB_1e1p PzEnu_1e1p ChargeNearTrunk Q0_1e1p Q3_1e1p Thetas Phis PTRat_1e1p Proton_ThetaReco Proton_PhiReco MinShrFrac MaxShrFrac BjXB_1e1p BjYB_1e1p Proton_Edep Electron_Edep Lepton_ThetaReco Lepton_PhiReco OpenAng Xreco Yreco Zreco MPIDY_muon MPIDY_proton MPIDY_eminus shower_fraction Shower_Consistency EnuQE_lepton EnuQE_proton Proton_TrackLength Lepton_TrackLength EnuTrue BDTscore_1e1p ccnc interactionType nlepton nproton scedr POTweight GenieWeight LEEweight label newpi0flag oldpi0flag datarun filetag cutLevel nBDTs tvweight0 sigprob0 tvweight1 sigprob1 tvweight2 sigprob2 tvweight3 sigprob3 tvweight4 sigprob4 tvweight5 sigprob5 tvweight6 sigprob6 tvweight7 sigprob7 tvweight8 sigprob8 tvweight9 sigprob9 tvweight10 sigprob10 tvweight11 sigprob11 tvweight12 sigprob12 tvweight13 sigprob13 tvweight14 sigprob14 tvweight15 sigprob15 tvweight16 sigprob16 tvweight17 sigprob17 tvweight18 sigprob18 tvweight19 sigprob19 sigprobavg sigprobmedian sigprobmax sigprob bdtweight
7765 80 4014 0 1922.167051783535 0.27353402972221375 292.47307197733676 2.668701997344764 7195.511097803472 -46.78953080572205 710.6146850585938 124.36020162353543 655.448730890272 1.4681439399719238 2.7925524711608887 0.15409160859482385 1.1117347478866577 -2.057642936706543 0.0 0.9936926364898682 1.4223974186687716 0.12799569532055596 95.75260162353516 1795.11015016 0.3564091622829437 0.7349094748497009 1.449163794517517 16.373281478881836 -50.38530731201172 471.3500061035156 0.020539915189146996 0.9566780924797058 0.925446093082428 0.8769998810678368 0.6449522481433173 2082.4847671463003 1264.436263419883 7.250753402709961 64.93196868896484 1672.7269287109375 0.9749295711517334 0 1001 1 2 0.37804147601127625 2.71612e+20 1.1484697204116672 0.0 nue_ccqe False 0 1 fullosc 2 20.0 1.0 0.9968354 1.0 0.9954032 1.0 0.9980221 1.0 0.9957397 1.0 0.9957372 1.0 0.99712676 1.0 0.99810165 1.0 0.9979055 1.0 0.99649423 1.0 0.9987704 1.0 0.9984901 1.0 0.99892044 1.0 0.99806386 1.0 0.99841785 1.0 0.9965474 1.0 0.997216 1.0 0.9978294 1.0 0.9938846 1.0 0.9977842 1.0 0.9975413 0.9972415626049042 0.997662752866745 0.9989204406738281 0.9972415626049042 1
7744 35 1758 0 662.691790381875 0.15064676105976105 231.44473367052035 3.1371805335338574 305.80490074677084 -63.03454791888453 348.72979736328125 208.7728221679688 725.0602493865124 1.8689783811569214 3.136931896209717 0.36007299249169594 0.3682674765586853 -2.2751617431640625 0.0 0.9889867901802063 1.5170315030261765 0.38387508212353044 180.16522216796875 451.22226821390626 1.5007108449935913 0.8617702126502991 1.868974208831787 187.8070068359375 20.841211318969727 751.1500244140625 0.007918203249573708 0.9945520758628845 0.9851601123809814 1.19662971121697 0.3705970089423862 892.2543810996298 454.9262228469759 21.744264602661133 51.78629684448242 607.4815063476562 0.9980930685997009 0 1001 1 1 0.5210713744163513 2.71612e+20 1.1834048367868844 0.0 nue_ccqe False 0 1 fullosc 2 20.0 1.0 0.9921461 1.0 0.98799336 1.0 0.995456 1.0 0.9932689 1.0 0.9945707 1.0 0.99605465 1.0 0.9968843 1.0 0.9953566 1.0 0.99221534 1.0 0.9931607 1.0 0.98649997 1.0 0.9948277 1.0 0.99297947 1.0 0.9890736 1.0 0.99329823 1.0 0.9925392 1.0 0.9926011 1.0 0.99002904 1.0 0.99382824 1.0 0.98661035 0.9924696743488312 0.9930700957775116 0.996884286403656 0.9924696743488312 1
7744 35 1757 0 1028.5592159714843 0.19315853714942932 607.5262337826914 2.272670843836908 4450.062306076604 -473.5267507617185 458.3481140136719 176.3498790527343 679.9682933062021 2.416378974914551 2.1238467693328857 0.7382829915970669 1.4918622970581055 0.7712674140930176 0.0 0.9794319272041321 2.3031409960541196 0.2707848154818495 147.74227905273438 849.51263691875 0.9245165586471558 2.8951141834259033 1.9504070281982422 93.88610076904297 -45.342742919921875 344.1499938964844 0.009600915014743805 0.9864857196807861 0.987556517124176 1.068189692391755 0.43443480615935065 1398.1185726916976 -1009.2657981098738 15.456350326538086 73.79129791259766 1487.562255859375 0.9766084551811218 0 1001 1 1 0.8934621810913086 2.71612e+20 1.2519377983767104 0.0 nue_ccqe False 0 1 fullosc 2 20.0 1.0 0.98727757 1.0 0.98802304 1.0 0.9918652 1.0 0.9864466 1.0 0.98392075 1.0 0.98214906 1.0 0.9939275 1.0 0.9938636 1.0 0.98871464 1.0 0.9943546 1.0 0.9868753 1.0 0.9888898 1.0 0.98927736 1.0 0.9871896 1.0 0.9918744 1.0 0.98251086 1.0 0.9861865 1.0 0.9868242 1.0 0.98373055 1.0 0.99179584 0.9882848501205445 0.9876503050327301 0.9943546056747437 0.9882848501205445 1
7740 46 2324 0 1210.5086447223825 0.3057834506034851 113.01283527012599 2.2840129609666944 212.86433744122365 53.37193499600903 498.0889892578125 129.2912700439456 498.318673738692 1.3211302757263184 2.8987836837768555 0.08906199966509544 0.9222205281257629 1.8986886739730835 0.0 0.9338487982749939 0.8315004289979198 0.12647084971223851 100.68367004394531 1078.5206746784374 0.3989097774028778 -1.000095009803772 1.3117483854293823 230.79498291015625 54.05735778808594 926.8499755859375 0.018022827804088593 0.9732003211975098 0.9802892804145813 1.1112718283801797 0.7942237548128144 1221.3763594777786 648.7578955239853 7.916008949279785 86.77899932861328 1244.331787109375 0.9978423714637756 0 1001 1 1 1.239780306816101 2.71612e+20 1.15200417758192 0.0 nue_ccqe False 0 1 fullosc 2 20.0 1.0 0.9964826 1.0 0.9969722 1.0 0.9975406 1.0 0.9960918 1.0 0.99625707 1.0 0.9976374 1.0 0.99745864 1.0 0.9969097 1.0 0.9962759 1.0 0.9980459 1.0 0.99819946 1.0 0.997752 1.0 0.9973356 1.0 0.99759513 1.0 0.9974262 1.0 0.997493 1.0 0.9967996 1.0 0.9952064 1.0 0.99734586 1.0 0.99717003 0.997099757194519 0.997340738773346 0.998199462890625 0.997099757194519 1
7724 6 341 0 1087.500419361992 0.12408921122550964 96.06507112479812 1.2724874995289404 399.4884527580623 -70.58444331757414 494.9583740234375 229.87143972167962 616.3035817365216 1.6746500730514526 2.9748387336730957 0.0940483555013821 1.025621771812439 2.0382044315338135 0.0 0.9923580884933472 1.0285500894931219 0.1974682439363912 201.2638397216797 854.9322796403125 0.6490283608436584 -0.9366343021392822 1.6674453020095825 175.93089294433594 -66.13882446289062 925.0 0.048040688037872314 0.9729211926460266 0.4979250431060791 1.1217850240496883 0.7314777158881727 1092.9832896702646 1726.2616077090386 26.260652542114258 82.55236053466797 1365.6826171875 0.9988492727279663 0 1001 1 1 0.9831852912902832 2.71612e+20 1.1835306094361924 0.0 nue_ccqe False 0 1 fullosc 2 20.0 1.0 0.997785 1.0 0.99767345 1.0 0.9962334 1.0 0.9970983 1.0 0.9967077 1.0 0.9979785 1.0 0.9987936 1.0 0.99620277 1.0 0.99621034 1.0 0.9988851 1.0 0.99797827 1.0 0.9978218 1.0 0.9980925 1.0 0.99764794 1.0 0.9972229 1.0 0.99768364 1.0 0.99713767 1.0 0.9952448 1.0 0.9953365 1.0 0.9974033 0.9972568720579147 0.9975256323814392 0.9988850951194763 0.9972568720579147 1
7713 10 522 0 896.7343605801561 0.27808743715286255 542.744917416351 2.769687450140918 21062.84037854304 10.259268474871305 469.8056335449219 115.95617177734368 662.0206818826405 1.3065778017044067 1.8159774541854858 0.5134858228463021 0.51308673620224 -1.561329960823059 0.0 0.9728682041168213 1.6093158605359497 0.2723145828911172 87.34857177734375 778.0814888028125 0.793491005897522 0.2546475827693939 1.0167661905288696 183.48416137695312 -77.83016967773438 147.0500030517578 0.02385275810956955 0.9437990784645081 0.9792228937149048 1.069662496021903 0.2019891574248951 1084.260327770049 322.4556529780502 6.168276309967041 50.9347038269043 969.3012084960938 0.9984583258628845 0 1000 1 2 0.5285261273384094 2.71612e+20 0.0010073053556384041 0.0 nue_other False 0 1 fullosc 2 20.0 1.0 0.9661016 1.0 0.9842667 1.0 0.9872449 1.0 0.98850805 1.0 0.98311645 1.0 0.9352753 1.0 0.9884566 1.0 0.9323381 1.0 0.98417795 1.0 0.9329643 1.0 0.9840927 1.0 0.98310584 1.0 0.9817328 1.0 0.9871832 1.0 0.9799012 1.0 0.9828639 1.0 0.9847563 1.0 0.968434 1.0 0.98135835 1.0 0.97965485 0.9747766554355621 0.982984870672226 0.9885080456733704 0.9747766554355621 1
7694 108 5419 0 769.5107152069139 0.11877342313528061 107.03379886270116 2.706519580071535 61.26669396370428 53.043468538192656 288.2591552734375 192.4844463134766 639.9485776724433 1.5399521589279175 3.270411729812622 0.12903586251441002 0.6530636548995972 0.2836640477180481 0.0 0.9927954077720642 0.9718763483021942 0.2859948594865552 163.87684631347656 574.3295688934375 0.8868885040283203 -2.9867477416992188 1.5360476970672607 141.37930297851562 -64.0685043334961 65.75 0.010044670663774014 0.9968535304069519 0.9668431878089905 1.049720951034198 0.5286774315980907 786.3558974535114 556.7051846810197 18.480958938598633 45.9647102355957 934.5869750976562 0.9995502233505249 0 1001 1 1 0.26573213934898376 2.71612e+20 1.1772620348835434 0.0 nue_ccqe False 0 1 fullosc 2 20.0 1.0 0.99720544 1.0 0.9972077 1.0 0.9968554 1.0 0.9952761 1.0 0.9958038 1.0 0.99666816 1.0 0.99708515 1.0 0.99806434 1.0 0.99726474 1.0 0.99645174 1.0 0.9956825 1.0 0.998016 1.0 0.99634117 1.0 0.9968901 1.0 0.996007 1.0 0.9964534 1.0 0.9971486 1.0 0.9950612 1.0 0.99677604 1.0 0.99359566 0.9964927107095718 0.9967221021652222 0.9980643391609192 0.9964927107095718 1
7675 49 2500 0 1018.9915624273436 0.25411421060562134 226.0679560975946 2.70874597631735 1039.665233341044 -97.42589874343491 388.7730407714844 405.51861074218755 1022.8966355911975 1.8739111423492432 3.3752858638763428 0.2382449358298028 0.4605409801006317 2.6774847507476807 0.0 0.8999999761581421 1.6662934886613043 0.434479167096804 376.9110107421875 610.7762516851562 1.413370132446289 -0.6978012323379517 1.861433982849121 91.29280090332031 -31.698772430419922 484.04998779296875 0.004515827167779207 0.9903351068496704 0.9923398494720459 0.9874791230838096 0.2969742459299739 1475.8203597293204 814.8492445569943 74.13050842285156 42.47261428833008 933.7015380859375 0.9907329678535461 0 1001 1 1 0.5233683586120605 2.71612e+20 1.2035917276212988 0.0 nue_ccqe False 0 1 fullosc 2 20.0 1.0 0.9933936 1.0 0.98658204 1.0 0.9882159 1.0 0.9886412 1.0 0.99057746 1.0 0.9798861 1.0 0.99464524 1.0 0.9876512 1.0 0.97639275 1.0 0.9940876 1.0 0.9917115 1.0 0.9894609 1.0 0.9779979 1.0 0.9901826 1.0 0.99158996 1.0 0.99019617 1.0 0.97892135 1.0 0.9870092 1.0 0.98630226 1.0 0.98446923 0.9873957097530365 0.9884285628795624 0.9946452379226685 0.9873957097530365 1
7668 87 4399 0 434.7768493498437 0.21243101358413696 70.1611987624322 1.398516796370034 170.6524501610594 -70.31214071980389 328.0626220703125 104.34444692382817 368.59644781393814 2.0770838260650635 2.920320749282837 0.18903402301263608 0.9592756032943726 -0.7956998944282532 0.0 0.9638888835906982 1.0938607521238821 0.22949971537143649 75.73684692382812 327.7357024260156 1.117808222770691 2.1246209144592285 2.056674003601074 83.55780029296875 -22.479673385620117 327.75 0.009201142005622387 0.9784835577011108 0.9666849970817566 1.2520741317293937 0.9526301549385761 447.6965528183675 586.6230042139649 4.795668125152588 49.27880096435547 449.3880615234375 0.9995787143707275 0 1001 1 1 0.6491338610649109 2.71612e+20 1.1108831808248303 0.0 nue_ccqe False 0 1 fullosc 2 20.0 1.0 0.9899301 1.0 0.993743 1.0 0.99216133 1.0 0.99307704 1.0 0.9934314 1.0 0.9726989 1.0 0.990515 1.0 0.9963509 1.0 0.9891383 1.0 0.98864603 1.0 0.9913536 1.0 0.98925656 1.0 0.96241593 1.0 0.9927449 1.0 0.9883698 1.0 0.97705835 1.0 0.9934325 1.0 0.9748686 1.0 0.9917327 1.0 0.99317247 0.987704873085022 0.990934282541275 0.996350884437561 0.987704873085022 1
7668 84 4210 0 940.277126830078 0.1635749638080597 196.8413088031386 0.5925361477310616 557.808726952334 177.21000885142485 457.5782165527344 230.34408071289056 539.632018975476 1.1675349473953247 3.3878374099731445 0.17347567160406482 0.7700580954551697 0.4173092544078827 0.0 0.8917050957679749 0.28988382154143966 0.19021535265761158 201.73648071289062 707.2363461171875 0.39747682213783264 -2.9705281257629395 1.1586800813674927 44.69449996948242 -64.84793090820312 864.5 0.01191899087280035 0.9952214360237122 0.9351418614387512 0.8444623318282359 0.20998861190766566 783.9186692282627 779.9456722468614 26.36536979675293 79.0784683227539 1019.3875122070312 0.960430920124054 0 1001 1 1 0.3281486928462982 2.71612e+20 1.0889701650503392 0.0 nue_ccqe False 0 1 fullosc 2 20.0 1.0 0.8734194 1.0 0.96491367 1.0 0.9777951 1.0 0.9828267 1.0 0.98045564 1.0 0.9885844 1.0 0.9877238 1.0 0.96086115 1.0 0.9279729 1.0 0.94071585 1.0 0.98851144 1.0 0.9159599 1.0 0.9806934 1.0 0.90966177 1.0 0.96741474 1.0 0.965869 1.0 0.96988714 1.0 0.9683202 1.0 0.96609503 1.0 0.98467815 0.9601179718971252 0.9678674638271332 0.9885843992233276 0.9601179718971252 1
